Jackknife_ID Sum_fab_HIGH	Sum_fba_HIGH	Sum_fab_MODERATE	Sum_fba_MODERATE	Sum_fab_LOW	Sum_fba_LOW	Sum_fab_MODIFIER	Sum_fba_MODIFIER	Sum_fab_INTERGENIC	Sum_fba_INTERGENIC
20	430.409307	380.147114	13429.724511	11359.640475	38646.886157	33697.660580	2352124.594058	2037825.861667	1279850.497162	1107209.562566
21	430.652994	381.010371	13471.747067	11404.400494	38695.467754	33741.177134	2345716.165150	2032429.461997	1273451.151726	1101988.059014
22	429.453625	380.355826	13451.305061	11386.216515	38597.833246	33659.222352	2345022.748846	2031860.195405	1275853.178273	1103798.163303
23	430.993777	380.604311	13448.057907	11389.040627	38684.100821	33735.968209	2346558.037299	2033571.671971	1275484.858974	1103690.699739
24	428.879233	378.063432	13415.778971	11358.882037	38534.557302	33605.588561	2346440.087196	2033245.095353	1279190.274168	1106908.661867
25	429.292388	380.029437	13420.118291	11348.342335	38509.651856	33573.765023	2345335.558439	2031790.349551	1276699.028007	1104363.647290
26	430.183613	380.707783	13430.259158	11371.028368	38593.290079	33661.723376	2346532.434385	2032524.495482	1280196.400211	1107164.447163
27	428.746548	378.628294	13452.088392	11381.083143	38550.503722	33616.438985	2347040.147657	2032571.003505	1278821.903327	1105879.766315
28	427.211944	377.681064	13452.203026	11376.420270	38574.236278	33623.646505	2357697.215693	2042156.665644	1284216.378056	1110730.357007
29	428.191820	379.022177	13356.122779	11302.267531	38440.284000	33502.065927	2354753.431051	2039344.857300	1284250.948032	1110591.293217
2	428.472628	379.949071	13444.449616	11371.917942	38595.362619	33649.081829	2346157.898762	2032257.581306	1275395.842939	1103124.807857
30	429.068650	380.241811	13382.053340	11332.180974	38464.714925	33536.939384	2346649.258962	2033188.836420	1278804.842366	1106417.177504
31	429.216738	379.309847	13416.995051	11355.254412	38618.311410	33677.528997	2346374.299383	2032207.429365	1276903.451799	1104221.321136
32	425.783815	378.289046	13452.388254	11378.568827	38678.139587	33726.897506	2347344.346252	2033795.174250	1274602.543168	1102763.366185
33	429.990010	379.669231	13454.351103	11394.168293	38624.076226	33683.228409	2345239.188106	2032654.896082	1276714.396022	1104963.977480
34	428.916062	378.547051	13420.094154	11368.576423	38522.795525	33605.993758	2344227.680769	2031422.825741	1274905.181535	1103262.022444
35	429.555267	380.180195	13505.746421	11430.942019	38734.062319	33781.688924	2348466.396414	2034155.285993	1274555.029395	1102149.683165
36	431.719913	381.897871	13532.384743	11446.431766	38864.345475	33886.397260	2361073.986049	2044906.152197	1282041.506924	1108607.265492
37	429.743082	380.063465	13415.732368	11346.838176	38499.669420	33553.590975	2351412.729251	2036858.300575	1282168.729609	1109029.991623
38	429.214421	379.757909	13469.213346	11394.114248	38633.027144	33691.582754	2345514.284844	2032118.899747	1277671.995751	1105229.149882
39	429.060658	380.035586	13440.629156	11371.194469	38638.160287	33699.154876	2345675.227213	2031844.655337	1277975.144541	1105601.342756
3	428.936012	378.914727	13445.961073	11379.593432	38643.268912	33697.393155	2346117.366621	2032259.339189	1277225.349440	1104795.063997
40	430.009675	379.746219	13457.433082	11378.332613	38646.404369	33680.478882	2347182.076832	2032752.212225	1279535.054294	1106397.722639
41	427.222161	377.745573	13395.476871	11340.787098	38470.051557	33566.989328	2345430.022026	2031944.835504	1278082.941794	1105593.923072
42	428.006996	377.826369	13438.488514	11374.530830	38572.022613	33633.791480	2345362.383661	2031573.838120	1276061.100614	1103685.835192
43	427.422998	376.955754	13434.586435	11365.446842	38558.008783	33629.532123	2347235.001236	2033252.008942	1277536.264135	1104981.376762
44	431.637621	381.498913	13528.496700	11446.463259	38860.251975	33882.925983	2370592.733593	2053485.738612	1290795.753716	1116463.049334
45	428.217262	378.365296	13390.478677	11343.179795	38540.470593	33630.438252	2350355.805775	2036448.908232	1279853.972441	1107248.779711
46	429.855153	380.531596	13396.566602	11341.563211	38550.015051	33602.608864	2345290.092486	2030878.353241	1275414.110664	1102714.890643
47	429.320797	379.115422	13431.237533	11363.203009	38620.711685	33662.943828	2347461.778045	2032950.769373	1279370.062040	1106343.233685
48	426.908512	376.967855	13390.902537	11328.183309	38453.373735	33510.953713	2346666.828997	2031897.521498	1278685.474485	1105439.713969
49	427.803537	379.705737	13415.766160	11344.277036	38531.578679	33583.781511	2346349.227771	2032342.316340	1278912.295692	1106177.434996
4	425.194976	376.855131	13376.490401	11318.180534	38460.548106	33537.653373	2346175.997878	2032462.189242	1277020.108755	1104737.966620
50	429.252943	379.208932	13465.931716	11394.894631	38613.645008	33668.545495	2346277.117881	2032091.313809	1276223.729695	1103570.472336
51	430.053625	380.899765	13408.567619	11341.609773	38443.008654	33505.485025	2352132.474458	2037175.335303	1281218.996387	1108030.272235
52	431.907413	382.085371	13540.737161	11456.318114	38889.759307	33907.361976	2371506.815578	2054262.453750	1291322.389113	1116916.001524
