Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
78	introduced	15969	55300	470040	1582960	1218520	3771676	85378356	270487002	37467844	119818070
78	native	15312	55932	439557	1594826	1166652	3805886	81429087	272423200	35695297	120733324
79	introduced	15971	55364	469933	1583416	1216108	3764392	84716027	268396280	37068312	118533710
79	native	15284	55980	439521	1595406	1164338	3798434	80799479	270322410	35314404	119440738
7	introduced	15874	54968	468745	1578806	1213740	3754692	84743556	268380744	37162550	118798456
7	native	15196	55588	438403	1590768	1161786	3788812	80830408	270308772	35405802	119707634
80	introduced	15988	55466	469632	1582614	1215892	3762888	84688135	268281456	37085170	118592510
80	native	15330	56082	439381	1594688	1164330	3797236	80774385	270204444	35330023	119498890
81	introduced	15947	55252	469733	1582466	1217734	3768876	84752763	268474784	37031787	118422956
81	native	15290	55868	439438	1594566	1165987	3803898	80836288	270391014	35279136	119323840
82	introduced	15973	55354	471662	1589126	1219937	3775670	84686157	268312468	37000543	118349996
82	native	15309	55958	441223	1601108	1167878	3809828	80771994	270228932	35250892	119252722
83	introduced	16016	55480	471653	1588630	1221111	3779466	85164971	269826730	37312263	119328376
83	native	15359	56100	441079	1600650	1168965	3813750	81229048	271760232	35546568	120239376
84	introduced	15858	54888	464327	1563254	1205548	3730952	84756479	268543794	37209529	119003488
84	native	15198	55496	434073	1575028	1154051	3764720	80825672	270474524	35445641	119914726
85	introduced	15943	55206	469307	1580912	1216565	3765692	84705040	268313892	37155055	118798634
85	native	15285	55838	439030	1593030	1164784	3799932	80788567	270240814	35395452	119706876
86	introduced	16005	55438	471035	1586696	1218660	3771540	84693875	268353366	37147356	118800944
86	native	15330	56058	440679	1598714	1166971	3805564	80776725	270265712	35388170	119703524
87	introduced	15986	55384	469267	1580808	1213943	3758080	84704737	268376230	37181368	118915598
87	native	15322	56030	439019	1592728	1162228	3792366	80789754	270296582	35423352	119822886
88	introduced	16049	55626	473156	1593934	1224680	3790352	85417845	270582126	37430019	119679930
88	native	15379	56244	442564	1605986	1172538	3824758	81466829	272519412	35658840	120593964
89	introduced	15929	55162	469186	1580224	1212078	3752550	84864584	268948822	37218127	119058006
89	native	15252	55776	438997	1592044	1160422	3786716	80940064	270876102	35456588	119968174
8	introduced	15891	55074	470413	1584438	1216760	3766286	84706670	268369296	37075849	118580284
8	native	15238	55690	439973	1596420	1165065	3800738	80797881	270285266	35327222	119482194
90	introduced	15825	54798	467151	1573888	1205924	3731096	84651618	268209950	37258562	119154402
90	native	15169	55414	437154	1585786	1155019	3765180	80742710	270135876	35498631	120064848
91	introduced	15445	53270	455206	1533262	1193911	3696862	84710156	268413000	37287228	119246654
91	native	14790	53868	424774	1544666	1142690	3730808	80790510	270334810	35522630	120159004
92	introduced	15551	54010	460580	1551490	1192573	3692764	84812198	268760766	37279487	119232144
92	native	14923	54630	430640	1563094	1140861	3725414	80882092	270682410	35512332	120141706
93	introduced	15930	55066	468443	1577482	1210799	3748754	84732856	268513980	37214848	119033278
93	native	15254	55684	438110	1589404	1159003	3782890	80813957	270437292	35453333	119941192
94	introduced	15881	55166	468670	1579518	1211647	3751436	84678074	268358798	37136064	118805102
94	native	15227	55782	438252	1591390	1160313	3785488	80767427	270281990	35380310	119713500
95	introduced	15764	54678	465406	1568158	1204583	3729230	84609875	268157562	37137839	118800500
95	native	15132	55304	435204	1580114	1153521	3763102	80699932	270081230	35383689	119710462
96	introduced	15923	55194	468955	1578520	1208578	3740462	84749476	268540664	37200347	118982250
96	native	15260	55778	438396	1590392	1156891	3774270	80829124	270466790	35438799	119891314
97	introduced	15612	54208	467043	1572816	1204481	3725758	84586408	267950980	37212234	118980154
97	native	14932	54840	436656	1584592	1152933	3759694	80658111	269870642	35446073	119887934
98	introduced	15880	55012	468439	1577354	1211294	3747614	84598524	267994186	37043478	118450960
98	native	15218	55638	438150	1589438	1159691	3781642	80683311	269904982	35289760	119351636
99	introduced	15950	55132	470034	1583076	1215075	3761220	84690774	268315730	37071076	118563278
99	native	15278	55760	439596	1595188	1163267	3795556	80774227	270236400	35319028	119466930
9	introduced	15927	55246	470355	1584926	1214590	3760436	84684915	268310226	37064980	118538842
9	native	15265	55872	439991	1596784	1162980	3794556	80767453	270231912	35311981	119444868
