Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
93	introduced	8294	40888	280361	1335126	744349	3530664	42658891	212331484	23429367	116046120
93	native	4816	29712	162928	967872	430108	2559624	24701762	153777744	13589514	84050706
94	introduced	8259	40944	281360	1337354	746958	3535556	42696830	212219686	23432942	115883994
94	native	4787	29746	163409	969546	431055	2563230	24719471	153700108	13593672	83934284
95	introduced	8194	40404	278746	1326334	742292	3514292	42644670	211974214	23403293	115724918
95	native	4762	29360	161951	961492	428911	2547814	24690037	153527868	13572811	83821468
96	introduced	8290	40952	280788	1336832	744218	3528688	42719629	212492298	23448926	116067616
96	native	4783	29748	162990	969104	429682	2558218	24726191	153897720	13599183	84066986
97	introduced	8102	40176	279516	1332714	740841	3514806	42609067	211977200	23424480	115925560
97	native	4706	29172	162471	966144	428409	2548398	24680388	153529556	13590984	83966990
98	introduced	8283	40864	280937	1336500	746307	3535190	42648906	211936126	23355600	115511946
98	native	4793	29696	163249	968914	431217	2563006	24696701	153502138	13546542	83668274
99	introduced	8320	40972	281528	1340614	748913	3546474	42678780	212228748	23379597	115694854
99	native	4821	29780	163563	971956	432651	2571430	24719176	153712442	13565315	83801118
9	introduced	8309	41104	282595	1343156	749892	3548860	42795954	212482972	23457016	115846574
9	native	4819	29868	164199	973762	433271	2573124	24781621	153899166	13607873	83911014
