Jackknife	Sample	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles
3	PZ29	1547	68858	223861	11089134	60747150
3	LI04	867	37480	127495	6364773	60031970
3	WE2430	1573	68589	227435	11332892	60844450
3	WS04	3015	128214	443793	22730041	59927472
3	WE2431	1547	68718	226424	11276882	60398492
3	WS05	3037	127774	438831	22576647	59347520
3	BB10	2827	121163	422565	21228916	56664200
3	CA14	2751	113443	401221	20157677	57051192
3	VG21	2921	120811	423388	21615130	58663734
3	CE29	3011	124631	438179	22493040	60904212
3	FC11	917	39936	131550	6596576	60908992
3	MM27	2813	114556	405589	20699593	58533126
3	NF30	2933	122832	431112	21912752	57849550
3	MI21	1451	64734	211268	10716035	61222510
3	FU14	2687	114166	398208	20306370	58297440
3	BB13	2828	118318	415168	20999181	56127502
3	WB20	1168	53281	177445	8738453	60132478
4	SH2514	3017	123791	433377	22427489	59895872
4	NF24	2978	124872	437130	22489874	59242920
4	WB13	1312	58898	195357	9714491	60927964
4	CW2212	1787	80640	265776	13198811	58814304
4	SH2515	3062	123985	435204	22458617	59742086
4	VR14	1672	77018	250691	12461977	59207000
4	DN26	1420	63201	205554	10243312	59497642
4	BU1031	1927	82877	272331	13586283	57413580
4	VT27	3011	125503	435674	22531615	60273956
4	CW2214	2059	89647	298397	15098519	60810654
4	BU04	1989	86306	284400	14079363	58811508
4	GC30	2742	113570	398986	20358854	57414288
4	DL2524	2857	124119	427095	21907059	57599372
4	VT29	2736	118542	413208	21117086	56611014
4	DL23523	3049	126852	440157	22709164	59592612
4	PZ29	1550	68448	223013	11097360	60846970
4	LI04	864	37443	127225	6375808	60131490
4	WE2430	1566	68153	226966	11338681	60943118
4	WS04	3019	127501	441935	22775201	60021830
4	WE2431	1559	68275	225704	11284392	60496858
4	WS05	3036	126987	437025	22619969	59437312
4	BB10	2832	120498	420827	21272555	56748208
4	CA14	2746	112858	399707	20197619	57135274
4	VG21	2922	120025	421547	21662862	58752604
4	CE29	3006	123829	436459	22539516	60998378
4	FC11	913	39827	131259	6605718	61007382
4	MM27	2818	113885	404007	20739769	58622702
4	NF30	2923	122128	429129	21954598	57931922
4	MI21	1452	64392	210418	10717925	61320174
4	FU14	2703	113482	396525	20348059	58387536
4	BB13	2831	117581	413158	21038579	56214054
4	WB20	1165	53171	176973	8742915	60230566
5	SH2514	3037	124793	435725	22389969	59812608
5	NF24	3016	125914	439383	22452935	59160948
5	WB13	1314	59270	195907	9702070	60845126
5	CW2212	1784	81119	266506	13174376	58737864
5	SH2515	3078	125005	437292	22418051	59660494
5	VR14	1670	77478	251394	12450711	59126934
5	DN26	1420	63730	206591	10242503	59418160
5	BU1031	1928	83436	273239	13571463	57337330
5	VT27	3036	126389	437879	22487298	60190446
5	CW2214	2068	90478	299917	15070298	60727892
5	BU04	1985	86852	285341	14063741	58735504
5	GC30	2759	114448	400781	20320160	57338942
5	DL2524	2866	125124	429104	21872354	57524892
5	VT29	2753	119420	415245	21079481	56531408
5	DL23523	3084	127852	442413	22666879	59511862
5	PZ29	1555	68947	223957	11084429	60764628
5	LI04	863	37513	127518	6366787	60050542
5	WE2430	1572	68644	227525	11328064	60859606
5	WS04	3033	128573	444246	22741531	59939720
5	WE2431	1558	68797	226515	11280723	60415424
5	WS05	3058	128025	439282	22584856	59356822
5	BB10	2842	121395	423105	21239602	56674478
5	CA14	2764	113643	401396	20158878	57059428
5	VG21	2940	121009	423630	21620968	58673080
5	CE29	3028	124891	438552	22499651	60915220
5	FC11	913	39958	131535	6600420	60925752
5	MM27	2834	114796	405859	20705108	58543140
5	NF30	2947	123145	431449	21916043	57856482
5	MI21	1454	64898	211281	10717580	61238188
5	FU14	2708	114389	398530	20308012	58307002
