Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
28	434.987500	374.154167	13190.829167	11239.070833	38173.772917	33175.597917	2324346.593752	2007987.818748	1265235.112500	1090927.329165
29	432.960417	376.077083	13095.320833	11163.587500	38032.416667	33053.783333	2320900.689586	2005144.622915	1264920.597916	1090772.381249
2	435.212500	376.529167	13181.952083	11225.552083	38194.868750	33190.585417	2312754.129169	1998085.587499	1256430.722916	1083315.639582
30	435.225000	376.466667	13118.604167	11183.012500	38043.072917	33076.964583	2312356.718752	1999103.943748	1259385.722916	1086532.139582
31	437.920833	375.104167	13142.597917	11218.081250	38188.085417	33242.677083	2311297.895835	1998046.154165	1256933.833333	1084437.308332
32	431.795833	373.554167	13193.006250	11231.056250	38268.589583	33267.597917	2314093.645835	1999629.937498	1255672.250000	1083086.891665
33	437.516667	376.258333	13192.931250	11251.597917	38233.381250	33225.656250	2312806.541669	1998265.516665	1258300.668750	1085037.043749
34	434.995833	375.595833	13171.291667	11224.683333	38111.616667	33159.783333	2311725.275002	1997431.283332	1256506.522916	1083613.031249
35	435.945833	377.087500	13242.097917	11287.797917	38330.633333	33319.325000	2314782.033335	1999649.991665	1255535.616666	1082061.716665
36	438.725000	378.550000	13268.572917	11302.889583	38453.250000	33428.858333	2327063.058336	2010594.549998	1262680.797916	1088785.231249
37	437.975000	376.216667	13154.216667	11202.283333	38096.475000	33105.808333	2317758.452085	2003089.535415	1263006.641666	1089450.466665
38	437.058333	376.050000	13209.022917	11250.697917	38227.427083	33239.135417	2311646.589585	1998336.231248	1258391.997916	1085574.547915
39	436.687500	375.912500	13178.441667	11229.808333	38250.035417	33242.160417	2312385.593752	1997958.918749	1258947.116666	1085924.974999
3	436.204167	374.737500	13181.995833	11242.970833	38245.152083	33248.135417	2312784.879169	1998371.512499	1258169.516666	1085120.699999
40	436.397917	376.381250	13193.418750	11235.593750	38225.920833	33233.687500	2313592.181252	1998455.814582	1260458.872916	1086564.364582
41	434.779167	373.787500	13137.033333	11197.408333	38084.525000	33112.483333	2312883.185419	1997708.243748	1259459.443750	1085774.318749
42	433.683333	375.058333	13174.033333	11230.075000	38140.577083	33178.702083	2310689.716669	1997542.391665	1256422.718750	1084105.360415
43	434.241667	373.966667	13173.439583	11221.547917	38148.766667	33174.441667	2313415.829169	1999241.362498	1258379.541666	1085179.533332
44	438.100000	377.800000	13266.377083	11301.960417	38446.822917	33426.531250	2336427.108336	2019084.383332	1271352.212500	1096562.420832
45	435.658333	375.083333	13146.706250	11194.847917	38135.670833	33180.204167	2317487.385419	2002300.002082	1261089.089583	1087452.539582
46	436.218750	377.385417	13132.631250	11194.747917	38136.597917	33146.372917	2311585.433335	1996720.991665	1256274.733333	1083038.908332
47	436.479167	375.920833	13173.352083	11218.718750	38219.827083	33203.535417	2313199.889585	1998864.864582	1259810.797916	1086537.131249
48	433.333333	373.608333	13119.029167	11190.829167	38013.920833	33077.412500	2311851.316669	1997913.633332	1258957.110416	1085651.610415
49	434.475000	376.166667	13135.727083	11205.010417	38100.316667	33142.333333	2311623.133335	1998584.633332	1259175.858333	1086544.866665
4	431.916667	374.000000	13109.287500	11181.029167	38057.931250	33082.681250	2312470.268752	1998402.068749	1257736.314583	1085097.247915
50	435.579167	376.104167	13209.275000	11252.633333	38207.033333	33212.308333	2312911.718752	1997822.427082	1257387.756250	1083720.122915
51	437.316667	377.383333	13151.733333	11191.566667	38037.254167	33014.537500	2318368.589585	2002214.472915	1262073.681250	1087869.781249
52	438.975000	378.550000	13276.677083	11312.285417	38476.831250	33449.814583	2337334.410419	2019846.760415	1271873.552083	1096998.152082
53	428.925000	373.866667	13166.735417	11201.552083	38109.552083	33121.310417	2317409.531252	2002362.831248	1260248.760416	1086938.227082
54	434.675000	374.600000	13182.102083	11232.393750	38141.543750	33125.018750	2311981.016669	1997692.966665	1258429.162500	1085266.912499
55	435.350000	376.133333	13185.847917	11255.822917	38249.866667	33273.300000	2312015.195835	1999967.895832	1255812.889583	1084757.122915
56	437.429167	375.629167	13175.054167	11226.220833	38239.722917	33233.422917	2312082.360419	1998603.985415	1256529.235416	1084148.735415
57	435.516667	377.108333	13164.554167	11230.812500	38169.489583	33190.981250	2311135.527085	1997687.443748	1256863.172916	1084484.722915
58	438.025000	377.583333	13222.556250	11258.656250	38298.041667	33279.483333	2314149.650002	1999160.299998	1255336.747916	1082334.339582
59	434.314583	374.964583	13113.633333	11160.850000	38172.191667	33175.800000	2327538.106252	2011035.622915	1266884.970833	1092581.945832
5	437.575000	375.150000	13202.070833	11253.487500	38279.587500	33266.229167	2313166.822919	1998224.956249	1258998.766666	1085480.366665
60	432.583333	373.525000	13075.241667	11146.525000	37768.554167	32870.187500	2319443.445836	2004622.779165	1262756.218750	1089135.968749
