Jackknife	Origin	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles	Intergenic_Alternate	Intergenic_Total
65	Native	23806	796004	2224760	129861814	132906384	398934	1106350
66	Introduced	24706	845428	2340970	136951990	140163094	420144	1099680
66	Native	23992	802184	2243522	130685782	133755480	400250	1106878
67	Introduced	24780	841262	2329488	136108112	139303642	418044	1100298
67	Native	24054	798254	2231880	129849544	132903732	401385	1107188
68	Introduced	24768	841398	2327164	135845624	139038954	422111	1099742
68	Native	24040	798210	2230436	129623234	132675920	401123	1107348
69	Introduced	24744	843858	2334950	135828400	139031952	418111	1100478
69	Native	24054	800638	2237776	129613032	132675500	399791	1105774
6	Introduced	24520	834552	2317614	135764128	138940814	416896	1100758
6	Native	23840	791726	2221032	129532906	132569504	399004	1106532
70	Introduced	24840	842574	2331482	135756042	138954938	419287	1099940
70	Native	24140	799298	2234316	129522458	132580212	397076	1105400
71	Introduced	24656	843270	2331192	135814914	139014032	419322	1099900
71	Native	23986	800094	2234128	129604062	132662270	399896	1107592
72	Introduced	24806	844118	2334948	136606064	139809936	420130	1099872
72	Native	24088	800920	2237810	130351868	133414686	400885	1107026
73	Introduced	24796	843300	2329410	135990034	139187540	417876	1101212
73	Native	24074	800106	2232588	129757102	132813870	398317	1107038
74	Introduced	24786	844078	2331472	135850784	139051120	418736	1100760
74	Native	24054	800572	2233784	129602814	132661224	400116	1107038
75	Introduced	24772	841502	2329694	135804322	139000290	418553	1099324
75	Native	24042	798524	2232118	129579208	132633892	399590	1106324
76	Introduced	24586	838080	2317966	135683958	138864590	419450	1100468
76	Native	23848	795076	2221408	129473744	132514076	399832	1106482
77	Introduced	24738	841880	2325350	135853028	139044996	418995	1100120
77	Native	24044	798600	2227728	129624714	132675086	401347	1106474
78	Introduced	24710	843114	2336498	136984368	140188690	421256	1100080
78	Native	23992	799640	2238630	130705196	133767458	398770	1107090
79	Introduced	24674	842310	2330804	135975906	139173694	420530	1101016
79	Native	23938	799064	2233634	129740180	132796816	398505	1106516
7	Introduced	24482	838678	2323338	135731378	138917876	419403	1100858
7	Native	23736	795418	2225782	129505752	132550688	396372	1106472
80	Introduced	24832	841536	2328382	135782788	138977538	419552	1100742
80	Native	24102	798582	2231622	129561180	132615486	399686	1107480
81	Introduced	24762	841178	2331534	135800220	138997694	419464	1100670
81	Native	24038	798122	2234508	129573336	132630004	399220	1106310
82	Introduced	24774	844822	2335878	135855208	139060682	418906	1100548
82	Native	24062	801598	2238150	129635412	132699222	398571	1106986
83	Introduced	24796	844438	2338412	136544156	139751802	418253	1099766
83	Native	24060	800998	2240692	130287484	133353234	399382	1107074
84	Introduced	24520	834408	2314162	136076252	139249342	419420	1100202
84	Native	23818	791270	2217074	129823606	132855768	400821	1105968
85	Introduced	24692	838474	2329058	135807650	138999874	418977	1101710
85	Native	23962	795628	2232064	129585446	132637100	399775	1107060
86	Introduced	24818	844024	2333472	135756542	138958856	417848	1100564
86	Native	24074	800802	2236404	129547672	132608952	399102	1106814
87	Introduced	24772	840406	2323986	135929878	139119042	418239	1100526
87	Native	24040	797442	2226862	129702574	132750918	399180	1106992
88	Introduced	24850	847402	2345116	136952522	140169890	419749	1100102
88	Native	24122	803950	2247334	130674214	133749620	401357	1106856
89	Introduced	24658	839578	2320666	136135702	139320604	421106	1101746
89	Native	23930	796686	2224080	129899352	132944048	401194	1107986
8	Introduced	24642	842062	2329614	135712478	138908796	419520	1100966
8	Native	23924	798944	2232722	129508752	132564342	399467	1106592
90	Introduced	24436	837934	2309854	135777410	138949634	418020	1099254
90	Native	23732	795306	2214108	129556772	132589918	402143	1106692
91	Introduced	23922	816800	2289644	135906222	139036588	419752	1100644
91	Native	23182	774146	2193204	129669552	132660084	399357	1106448
92	Introduced	24110	827574	2292722	136182520	139326926	419869	1101066
92	Native	23450	785066	2196074	129933146	132937736	399223	1107222
93	Introduced	24714	837982	2315948	135873962	139052606	419924	1100976
93	Native	23974	794684	2218804	129640104	132677566	400153	1107512
94	Introduced	24580	839292	2318370	135784752	138966994	419489	1101424
94	Native	23854	796124	2222378	129581460	132623816	398056	1107320
95	Introduced	24314	832590	2304194	135618608	138779706	419013	1100436
95	Native	23610	789850	2208832	129416974	132439266	398779	1107306
96	Introduced	24704	840022	2315888	136026900	139207514	418615	1100538
96	Native	23950	796606	2219186	129791094	132830836	397220	1107048
97	Introduced	24094	836702	2307152	135711254	138879202	420223	1100156
97	Native	23340	793328	2210384	129458748	132485800	401480	1107642
98	Introduced	24612	839242	2319102	135661460	138844416	420690	1099986
98	Native	23894	796072	2222336	129436610	132478912	397607	1106708
99	Introduced	24682	842344	2326356	135861566	139054948	418743	1100800
99	Native	23934	798952	2229074	129629756	132681716	398933	1106924
9	Introduced	24706	841680	2324762	135804282	138995430	416681	1100140
9	Native	23998	798502	2228012	129578132	132628644	398010	1107458
