Jackknife	Sample	MODIFIER	Total_Alleles
36	VT27	72418	94652
36	CW2214	48761	95760
36	BU04	45246	92604
36	GC30	65742	90371
36	DL2524	70669	90566
36	VT29	68107	89025
36	DL23523	73272	93721
36	PZ29	35829	95737
36	LI04	20721	94640
36	WE2430	36212	96050
36	WS04	73510	94456
36	WE2431	36497	95281
36	WS05	72898	93403
36	BB10	68180	89222
36	VG21	69857	92366
36	CE29	72670	96000
36	CA14	64892	89790
36	FC11	21386	96090
36	MM27	67032	92243
36	NF30	70367	91038
36	MI21	34608	96590
36	FU14	65561	91769
36	BB13	67825	88449
36	WB20	28336	94836
37	SH2514	71769	93814
37	NF24	71736	92696
37	WB13	31424	95534
37	CW2212	42086	92171
37	SH2515	71943	93583
37	VR14	40243	92886
37	DN26	32740	93191
37	BU1031	43388	89902
37	VT27	72041	94214
37	CW2214	48506	95310
37	BU04	44992	92191
37	GC30	65377	89939
37	DL2524	70307	90167
37	VT29	67767	88612
37	DL23523	72861	93280
37	PZ29	35616	95304
37	LI04	20616	94199
37	WE2430	36033	95605
37	WS04	73107	94019
37	WE2431	36288	94835
37	WS05	72506	92973
37	BB10	67808	88812
37	VG21	69468	91954
37	CE29	72282	95556
37	CA14	64569	89379
37	FC11	21279	95636
37	MM27	66661	91822
37	NF30	69980	90588
37	MI21	34440	96133
37	FU14	65191	91337
37	BB13	67407	88040
37	WB20	28209	94391
38	SH2514	71662	93607
38	NF24	71604	92505
38	WB13	31344	95324
38	CW2212	42026	91988
38	SH2515	71890	93388
38	VR14	40166	92674
38	DN26	32723	92984
38	BU1031	43394	89721
38	VT27	71989	94007
38	CW2214	48413	95116
38	BU04	44989	91980
38	GC30	65327	89750
38	DL2524	70203	89967
38	VT29	67697	88442
38	DL23523	72770	93089
38	PZ29	35610	95090
38	LI04	20586	93989
38	WE2430	36081	95409
38	WS04	72972	93807
38	WE2431	36277	94645
38	WS05	72375	92772
38	BB10	67704	88620
38	VG21	69376	91736
38	CE29	72178	95353
38	CA14	64474	89195
38	FC11	21252	95456
38	MM27	66584	91620
38	NF30	69886	90427
38	MI21	34397	95933
38	FU14	65098	91128
38	BB13	67329	87837
38	WB20	28177	94203
39	SH2514	71722	93673
39	NF24	71652	92560
39	WB13	31362	95411
39	CW2212	42028	92059
39	SH2515	71914	93450
39	VR14	40251	92772
39	DN26	32751	93074
39	BU1031	43408	89803
39	VT27	71975	94075
39	CW2214	48460	95202
39	BU04	44996	92067
39	GC30	65329	89825
39	DL2524	70231	90019
39	VT29	67683	88471
39	DL23523	72824	93155
39	PZ29	35693	95177
39	LI04	20644	94068
39	WE2430	36073	95496
39	WS04	72995	93882
39	WE2431	36299	94730
39	WS05	72416	92837
39	BB10	67738	88689
39	VG21	69431	91815
39	CE29	72225	95435
39	CA14	64474	89256
39	FC11	21273	95526
39	MM27	66592	91688
39	NF30	69943	90478
39	MI21	34478	96013
39	FU14	65129	91224
39	BB13	67401	87906
39	WB20	28208	94281
40	SH2514	71714	93690
40	NF24	71637	92577
40	WB13	31336	95410
40	CW2212	42057	92048
40	SH2515	71885	93458
40	VR14	40180	92748
40	DN26	32747	93054
40	BU1031	43406	89800
40	VT27	71979	94088
40	CW2214	48617	95198
40	BU04	44982	92047
40	GC30	65299	89842
40	DL2524	70201	90032
40	VT29	67672	88509
40	DL23523	72766	93153
40	PZ29	35614	95178
40	LI04	20615	94074
40	WE2430	36140	95498
40	WS04	72949	93899
40	WE2431	36345	94731
40	WS05	72369	92846
40	BB10	67707	88683
40	VG21	69381	91818
40	CE29	72165	95435
40	CA14	64469	89276
40	FC11	21284	95535
40	MM27	66598	91707
40	NF30	69919	90502
40	MI21	34456	96020
40	FU14	65114	91218
40	BB13	67327	87926
40	WB20	28196	94275
41	SH2514	71637	93578
41	NF24	71574	92461
41	WB13	31272	95289
41	CW2212	41952	91928
41	SH2515	71831	93355
41	VR14	40117	92642
41	DN26	32704	92935
41	BU1031	43304	89686
41	VT27	71847	93975
41	CW2214	48486	95082
41	BU04	44868	91927
41	GC30	65237	89723
41	DL2524	70139	89938
41	VT29	67566	88378
41	DL23523	72701	93039
41	PZ29	35546	95058
41	LI04	20575	93954
41	WE2430	36026	95362
41	WS04	72882	93768
41	WE2431	36180	94610
41	WS05	72293	92734
41	BB10	67651	88579
41	VG21	69307	91700
41	CE29	72129	95325
41	CA14	64388	89139
41	FC11	21236	95413
41	MM27	66510	91583
41	NF30	69831	90375
41	MI21	34387	95889
41	FU14	65059	91098
41	BB13	67281	87828
41	WB20	28143	94157
42	SH2514	71602	93545
42	NF24	71523	92436
42	WB13	31362	95276
42	CW2212	41976	91900
42	SH2515	71794	93314
42	VR14	40074	92618
42	DN26	32581	92924
42	BU1031	43233	89660
42	VT27	71853	93952
42	CW2214	48454	95056
42	BU04	44809	91918
42	GC30	65208	89691
42	DL2524	70135	89886
42	VT29	67544	88357
42	DL23523	72685	93014
42	PZ29	35577	95029
42	LI04	20558	93918
42	WE2430	35898	95339
42	WS04	72892	93742
42	WE2431	36189	94576
42	WS05	72293	92704
42	BB10	67639	88553
42	VG21	69304	91676
42	CE29	72066	95280
42	CA14	64414	89145
42	FC11	21234	95364
42	MM27	66493	91559
42	NF30	69798	90366
42	MI21	34330	95860
42	FU14	65024	91073
42	BB13	67247	87776
42	WB20	28078	94126
43	SH2514	71687	93687
43	NF24	71652	92562
43	WB13	31368	95389
43	CW2212	41993	92039
43	SH2515	71889	93455
43	VR14	40192	92751
43	DN26	32625	93063
43	BU1031	43350	89789
43	VT27	72004	94067
43	CW2214	48438	95178
43	BU04	44891	92033
43	GC30	65329	89811
43	DL2524	70265	90024
43	VT29	67694	88481
43	DL23523	72818	93135
43	PZ29	35611	95157
43	LI04	20589	94050
43	WE2430	35985	95463
43	WS04	73004	93890
43	WE2431	36180	94711
43	WS05	72412	92824
43	BB10	67706	88654
43	VG21	69419	91807
43	CE29	72220	95412
43	CA14	64499	89244
43	FC11	21241	95498
43	MM27	66614	91675
43	NF30	69919	90468
43	MI21	34375	95987
43	FU14	65168	91199
43	BB13	67358	87917
43	WB20	28118	94248
44	SH2514	72414	94611
44	NF24	72339	93482
44	WB13	31686	96344
44	CW2212	42418	92954
44	SH2515	72601	94381
44	VR14	40584	93669
44	DN26	32945	93978
44	BU1031	43804	90682
44	VT27	72686	95015
44	CW2214	48981	96130
44	BU04	45391	92953
44	GC30	65957	90716
44	DL2524	70896	90922
44	VT29	68352	89360
44	DL23523	73497	94074
44	PZ29	35970	96106
44	LI04	20810	94993
44	WE2430	36354	96421
44	WS04	73714	94819
44	WE2431	36642	95647
44	WS05	73117	93760
44	BB10	68383	89560
44	VG21	70081	92719
44	CE29	72900	96371
44	CA14	65106	90139
44	FC11	21469	96456
44	MM27	67248	92597
44	NF30	70591	91377
44	MI21	34724	96950
44	FU14	65761	92113
44	BB13	68005	88785
44	WB20	28451	95197
45	SH2514	71778	93805
45	NF24	71735	92677
45	WB13	31350	95509
45	CW2212	41993	92142
45	SH2515	71934	93569
45	VR14	40177	92851
45	DN26	32587	93157
45	BU1031	43404	89887
45	VT27	72087	94204
45	CW2214	48575	95310
45	BU04	44959	92154
45	GC30	65403	89948
45	DL2524	70341	90146
45	VT29	67774	88601
45	DL23523	72882	93277
45	PZ29	35615	95276
45	LI04	20583	94162
45	WE2430	35968	95576
45	WS04	73110	94007
45	WE2431	36242	94819
45	WS05	72498	92948
45	BB10	67809	88789
45	VG21	69462	91929
45	CE29	72267	95544
45	CA14	64548	89372
45	FC11	21269	95614
45	MM27	66676	91808
45	NF30	69996	90601
45	MI21	34364	96110
45	FU14	65233	91335
45	BB13	67428	88014
45	WB20	28193	94388
46	SH2514	71602	93521
46	NF24	71545	92412
46	WB13	31354	95249
46	CW2212	41951	91893
46	SH2515	71815	93307
46	VR14	40168	92596
46	DN26	32603	92905
46	BU1031	43326	89635
46	VT27	71897	93926
46	CW2214	48505	95035
46	BU04	44916	91888
46	GC30	65247	89679
46	DL2524	70152	89882
46	VT29	67593	88326
46	DL23523	72711	93016
46	PZ29	35610	95007
46	LI04	20558	93911
46	WE2430	36024	95335
46	WS04	72926	93741
46	WE2431	36234	94541
46	WS05	72324	92683
46	BB10	67671	88547
46	VG21	69308	91659
46	CE29	72086	95264
46	CA14	64386	89123
46	FC11	21215	95351
46	MM27	66474	91531
46	NF30	69823	90328
46	MI21	34355	95843
46	FU14	65048	91049
46	BB13	67269	87785
46	WB20	28135	94113
47	SH2514	71694	93688
47	NF24	71600	92587
47	WB13	31446	95415
47	CW2212	42018	92050
47	SH2515	71889	93467
47	VR14	40219	92760
47	DN26	32665	93055
47	BU1031	43376	89790
47	VT27	72033	94097
47	CW2214	48601	95197
47	BU04	44985	92053
47	GC30	65306	89833
47	DL2524	70213	90036
47	VT29	67714	88498
47	DL23523	72792	93165
47	PZ29	35660	95176
47	LI04	20626	94070
47	WE2430	36029	95497
47	WS04	73003	93908
47	WE2431	36334	94725
47	WS05	72414	92852
47	BB10	67726	88693
47	VG21	69372	91813
47	CE29	72196	95443
47	CA14	64470	89270
47	FC11	21287	95527
47	MM27	66546	91690
47	NF30	69847	90489
47	MI21	34420	96020
47	FU14	65109	91225
47	BB13	67333	87935
47	WB20	28202	94270
48	SH2514	71649	93629
48	NF24	71554	92503
48	WB13	31409	95357
48	CW2212	41955	91988
48	SH2515	71825	93399
48	VR14	40209	92693
48	DN26	32647	92994
48	BU1031	43360	89729
48	VT27	71926	94031
48	CW2214	48537	95137
48	BU04	44925	91991
48	GC30	65288	89781
48	DL2524	70179	89991
48	VT29	67662	88439
48	DL23523	72733	93111
48	PZ29	35638	95113
48	LI04	20638	94009
48	WE2430	36002	95416
48	WS04	72972	93843
48	WE2431	36316	94647
48	WS05	72365	92794
48	BB10	67688	88654
48	VG21	69351	91762
48	CE29	72132	95381
48	CA14	64388	89190
48	FC11	21299	95460
48	MM27	66504	91637
48	NF30	69819	90420
48	MI21	34409	95948
48	FU14	65072	91161
48	BB13	67294	87849
48	WB20	28193	94216
49	SH2514	71697	93587
49	NF24	71587	92486
49	WB13	31367	95326
49	CW2212	41980	91969
49	SH2515	71870	93376
49	VR14	40138	92670
49	DN26	32609	92954
49	BU1031	43380	89715
49	VT27	71934	93990
49	CW2214	48458	95100
49	BU04	44941	91960
49	GC30	65290	89724
49	DL2524	70122	89953
49	VT29	67672	88383
49	DL23523	72680	93060
49	PZ29	35593	95075
49	LI04	20595	93984
49	WE2430	35930	95385
49	WS04	72925	93797
49	WE2431	36293	94627
49	WS05	72371	92745
49	BB10	67708	88593
49	VG21	69313	91724
49	CE29	72137	95340
49	CA14	64398	89163
49	FC11	21240	95429
49	MM27	66562	91599
49	NF30	69898	90405
49	MI21	34362	95914
49	FU14	65114	91117
49	BB13	67334	87847
49	WB20	28155	94183
50	SH2514	71633	93576
50	NF24	71579	92477
50	WB13	31322	95318
50	CW2212	41970	91958
50	SH2515	71783	93344
50	VR14	40098	92680
50	DN26	32594	92974
50	BU1031	43303	89712
50	VT27	71912	93977
50	CW2214	48294	95079
50	BU04	44872	91976
50	GC30	65248	89733
50	DL2524	70123	89938
50	VT29	67641	88385
50	DL23523	72698	93060
50	PZ29	35582	95068
50	LI04	20595	93971
50	WE2430	35882	95383
50	WS04	72893	93780
50	WE2431	36296	94628
50	WS05	72331	92743
50	BB10	67654	88591
50	VG21	69319	91728
50	CE29	72105	95322
50	CA14	64402	89157
50	FC11	21223	95419
50	MM27	66500	91593
50	NF30	69825	90379
50	MI21	34332	95893
50	FU14	65069	91129
50	BB13	67253	87815
50	WB20	28155	94166
51	SH2514	71831	93855
51	NF24	71757	92739
51	WB13	31386	95576
51	CW2212	42050	92217
51	SH2515	72027	93620
51	VR14	40217	92923
51	DN26	32665	93243
51	BU1031	43417	89960
51	VT27	72128	94270
51	CW2214	48554	95360
51	BU04	44976	92216
51	GC30	65450	90011
51	DL2524	70321	90198
51	VT29	67815	88653
51	DL23523	72895	93327
51	PZ29	35666	95346
51	LI04	20653	94233
51	WE2430	35970	95652
51	WS04	73126	94061
51	WE2431	36387	94883
51	WS05	72562	93021
51	BB10	67837	88826
51	VG21	69511	91988
51	CE29	72295	95599
51	CA14	64600	89419
51	FC11	21295	95696
51	MM27	66704	91861
51	NF30	70065	90667
51	MI21	34413	96181
51	FU14	65233	91382
51	BB13	67486	88072
51	WB20	28209	94436
52	SH2514	72445	94651
52	NF24	72367	93524
52	WB13	31694	96386
52	CW2212	42450	92995
52	SH2515	72633	94421
52	VR14	40608	93709
52	DN26	32958	94020
52	BU1031	43828	90717
52	VT27	72710	95054
52	CW2214	49002	96171
52	BU04	45419	92993
52	GC30	65988	90756
52	DL2524	70933	90961
52	VT29	68383	89400
52	DL23523	73532	94116
52	PZ29	35990	96148
52	LI04	20818	95033
52	WE2430	36365	96461
52	WS04	73751	94859
52	WE2431	36649	95689
52	WS05	73154	93801
52	BB10	68423	89601
52	VG21	70109	92761
52	CE29	72933	96412
52	CA14	65134	90179
52	FC11	21481	96499
52	MM27	67273	92637
52	NF30	70620	91419
52	MI21	34749	96994
52	FU14	65789	92152
52	BB13	68041	88824
52	WB20	28460	95237
53	SH2514	71821	93839
53	NF24	71771	92723
53	WB13	31409	95547
53	CW2212	42046	92175
53	SH2515	72034	93614
53	VR14	40229	92891
53	DN26	32672	93201
53	BU1031	43414	89920
53	VT27	72128	94243
53	CW2214	48557	95341
53	BU04	45017	92187
53	GC30	65447	89979
53	DL2524	70324	90178
53	VT29	67859	88646
53	DL23523	72887	93298
53	PZ29	35686	95312
53	LI04	20616	94204
53	WE2430	36010	95606
53	WS04	73126	94042
53	WE2431	36275	94845
53	WS05	72549	93000
53	BB10	67876	88820
53	VG21	69514	91971
53	CE29	72299	95576
53	CA14	64593	89401
53	FC11	21266	95657
53	MM27	66694	91838
53	NF30	70035	90632
53	MI21	34423	96144
53	FU14	65237	91370
53	BB13	67514	88061
53	WB20	28155	94397
54	SH2514	71653	93607
54	NF24	71581	92486
54	WB13	31383	95319
54	CW2212	42014	91976
54	SH2515	71827	93375
54	VR14	40207	92674
54	DN26	32602	92978
54	BU1031	43348	89710
54	VT27	71915	94009
54	CW2214	48468	95125
54	BU04	44910	91953
54	GC30	65279	89764
54	DL2524	70176	89954
54	VT29	67647	88424
54	DL23523	72714	93081
54	PZ29	35622	95083
54	LI04	20592	93994
54	WE2430	36007	95398
54	WS04	72929	93818
54	WE2431	36317	94646
54	WS05	72397	92762
54	BB10	67674	88617
54	VG21	69308	91739
54	CE29	72133	95346
54	CA14	64427	89203
54	FC11	21271	95444
54	MM27	66529	91623
54	NF30	69864	90436
54	MI21	34397	95926
54	FU14	65090	91153
54	BB13	67287	87858
54	WB20	28146	94177
55	SH2514	71763	93721
55	NF24	71681	92597
55	WB13	31433	95438
55	CW2212	42107	92066
55	SH2515	71941	93484
55	VR14	40260	92778
55	DN26	32766	93092
55	BU1031	43443	89819
55	VT27	72041	94112
55	CW2214	48557	95227
55	BU04	45024	92068
55	GC30	65372	89859
55	DL2524	70259	90063
55	VT29	67772	88524
55	DL23523	72830	93193
55	PZ29	35689	95203
55	LI04	20619	94087
55	WE2430	36135	95510
55	WS04	73069	93921
55	WE2431	36320	94747
55	WS05	72397	92868
55	BB10	67793	88720
55	VG21	69486	91853
55	CE29	72243	95462
55	CA14	64522	89292
55	FC11	21308	95547
55	MM27	66636	91721
55	NF30	69902	90513
55	MI21	34424	96032
55	FU14	65213	91240
55	BB13	67383	87940
55	WB20	28213	94295
56	SH2514	71645	93598
56	NF24	71594	92495
56	WB13	31351	95320
56	CW2212	42063	91947
56	SH2515	71831	93364
56	VR14	40182	92667
56	DN26	32743	92977
56	BU1031	43391	89704
56	VT27	71927	93990
56	CW2214	48498	95104
56	BU04	44960	91954
56	GC30	65246	89746
56	DL2524	70130	89937
56	VT29	67632	88393
56	DL23523	72709	93069
56	PZ29	35613	95087
56	LI04	20601	93986
56	WE2430	36020	95393
56	WS04	72909	93807
56	WE2431	36158	94621
56	WS05	72320	92754
56	BB10	67669	88594
56	VG21	69349	91712
56	CE29	72110	95342
56	CA14	64418	89196
56	FC11	21259	95440
56	MM27	66545	91593
56	NF30	69866	90405
56	MI21	34398	95930
56	FU14	65034	91114
56	BB13	67296	87845
56	WB20	28127	94179
57	SH2514	71682	93588
57	NF24	71553	92467
57	WB13	31380	95303
57	CW2212	42025	91932
57	SH2515	71818	93358
57	VR14	40167	92656
57	DN26	32611	92962
57	BU1031	43336	89702
57	VT27	71940	93981
57	CW2214	48518	95099
57	BU04	44938	91961
57	GC30	65243	89724
57	DL2524	70175	89929
57	VT29	67649	88401
57	DL23523	72755	93062
57	PZ29	35586	95063
57	LI04	20565	93970
57	WE2430	36016	95386
57	WS04	72928	93787
57	WE2431	36266	94631
57	WS05	72354	92742
57	BB10	67680	88604
57	VG21	69318	91714
57	CE29	72118	95328
57	CA14	64403	89147
57	FC11	21238	95419
57	MM27	66532	91584
57	NF30	69839	90385
57	MI21	34382	95916
57	FU14	65074	91119
57	BB13	67323	87824
57	WB20	28136	94158
58	SH2514	71797	93741
58	NF24	71734	92620
58	WB13	31409	95455
58	CW2212	42068	92097
58	SH2515	71972	93521
58	VR14	40250	92794
58	DN26	32632	93120
58	BU1031	43434	89822
58	VT27	72072	94137
58	CW2214	48595	95246
58	BU04	45001	92084
58	GC30	65394	89878
58	DL2524	70286	90080
58	VT29	67797	88528
58	DL23523	72834	93206
58	PZ29	35644	95225
58	LI04	20620	94108
58	WE2430	36050	95530
58	WS04	73083	93943
58	WE2431	36333	94763
58	WS05	72532	92916
58	BB10	67793	88743
58	VG21	69450	91858
58	CE29	72277	95473
58	CA14	64544	89315
58	FC11	21274	95561
58	MM27	66653	91741
58	NF30	69983	90536
58	MI21	34439	96055
58	FU14	65197	91262
58	BB13	67469	87990
58	WB20	28190	94304
59	SH2514	72141	94229
59	NF24	72053	93096
59	WB13	31572	95962
59	CW2212	42239	92584
59	SH2515	72328	93994
59	VR14	40413	93289
59	DN26	32803	93594
59	BU1031	43605	90303
59	VT27	72411	94624
59	CW2214	48805	95734
59	BU04	45185	92573
59	GC30	65698	90336
59	DL2524	70639	90553
59	VT29	68093	89005
59	DL23523	73221	93689
59	PZ29	35819	95714
59	LI04	20726	94609
59	WE2430	36227	96030
59	WS04	73439	94432
59	WE2431	36466	95261
59	WS05	72843	93376
59	BB10	68135	89202
59	VG21	69824	92343
59	CE29	72627	95976
59	CA14	64837	89760
59	FC11	21371	96064
59	MM27	67001	92217
59	NF30	70335	91007
59	MI21	34577	96555
59	FU14	65512	91740
59	BB13	67772	88439
59	WB20	28338	94810
60	SH2514	71898	93943
60	NF24	71785	92826
60	WB13	31403	95651
60	CW2212	42097	92306
60	SH2515	72083	93722
60	VR14	40268	92995
60	DN26	32634	93309
60	BU1031	43489	90044
60	VT27	72130	94340
60	CW2214	48600	95445
60	BU04	45072	92302
60	GC30	65464	90062
60	DL2524	70369	90275
60	VT29	67850	88744
60	DL23523	72941	93418
60	PZ29	35670	95428
60	LI04	20607	94323
60	WE2430	36025	95728
60	WS04	73196	94159
60	WE2431	36302	94957
60	WS05	72583	93104
60	BB10	67893	88925
60	VG21	69571	92069
60	CE29	72357	95688
60	CA14	64622	89514
60	FC11	21260	95762
60	MM27	66760	91965
60	NF30	70045	90724
60	MI21	34421	96259
60	FU14	65290	91463
60	BB13	67535	88160
60	WB20	28185	94518
61	SH2514	71688	93637
61	NF24	71575	92528
61	WB13	31295	95350
61	CW2212	41969	92008
61	SH2515	71865	93409
61	VR14	40215	92715
61	DN26	32536	93005
61	BU1031	43320	89744
61	VT27	71917	94040
61	CW2214	48492	95152
61	BU04	44908	91987
61	GC30	65244	89793
61	DL2524	70138	89979
61	VT29	67652	88450
61	DL23523	72728	93114
61	PZ29	35538	95108
61	LI04	20550	94013
61	WE2430	35906	95426
61	WS04	72927	93837
61	WE2431	36229	94659
61	WS05	72394	92796
61	BB10	67653	88634
61	VG21	69342	91763
61	CE29	72137	95382
61	CA14	64442	89208
61	FC11	21225	95457
61	MM27	66533	91639
61	NF30	69781	90424
61	MI21	34344	95956
61	FU14	65044	91166
61	BB13	67306	87884
61	WB20	28145	94222
62	SH2514	71587	93528
62	NF24	71468	92416
62	WB13	31303	95239
62	CW2212	41902	91891
62	SH2515	71757	93290
62	VR14	40192	92572
62	DN26	32553	92905
62	BU1031	43315	89624
62	VT27	71797	93908
62	CW2214	48483	95015
62	BU04	44867	91864
62	GC30	65183	89674
62	DL2524	70039	89879
62	VT29	67525	88334
62	DL23523	72609	92989
62	PZ29	35625	95002
62	LI04	20603	93891
62	WE2430	35912	95328
62	WS04	72809	93728
62	WE2431	36304	94544
62	WS05	72208	92693
62	BB10	67544	88546
62	VG21	69244	91656
62	CE29	72038	95271
62	CA14	64341	89082
62	FC11	21297	95349
62	MM27	66454	91513
62	NF30	69727	90336
62	MI21	34434	95834
62	FU14	64992	91055
62	BB13	67177	87737
62	WB20	28181	94088
63	SH2514	71712	93650
63	NF24	71654	92537
63	WB13	31347	95363
63	CW2212	42006	91990
63	SH2515	71922	93422
63	VR14	40201	92701
63	DN26	32607	93017
63	BU1031	43422	89746
63	VT27	71982	94037
63	CW2214	48582	95157
63	BU04	44976	91984
63	GC30	65312	89792
63	DL2524	70166	89985
63	VT29	67717	88450
63	DL23523	72745	93134
63	PZ29	35663	95127
63	LI04	20603	94024
63	WE2430	36019	95436
63	WS04	72954	93846
63	WE2431	36334	94673
63	WS05	72374	92806
63	BB10	67746	88647
63	VG21	69394	91767
63	CE29	72169	95384
63	CA14	64476	89210
63	FC11	21258	95482
63	MM27	66584	91637
63	NF30	69938	90452
63	MI21	34426	95959
63	FU14	65133	91177
63	BB13	67368	87864
63	WB20	28200	94236
64	SH2514	71658	93646
64	NF24	71603	92526
64	WB13	31350	95350
64	CW2212	41966	91987
64	SH2515	71850	93404
64	VR14	40137	92706
64	DN26	32617	93007
64	BU1031	43354	89740
64	VT27	71952	94035
64	CW2214	48527	95139
64	BU04	44956	91978
64	GC30	65299	89792
64	DL2524	70158	89988
64	VT29	67680	88438
64	DL23523	72718	93102
64	PZ29	35587	95120
64	LI04	20621	94013
64	WE2430	36020	95425
64	WS04	72934	93852
64	WE2431	36285	94660
64	WS05	72328	92810
64	BB10	67678	88635
64	VG21	69357	91773
64	CE29	72124	95379
64	CA14	64492	89229
64	FC11	21267	95461
64	MM27	66555	91629
64	NF30	69822	90446
64	MI21	34416	95957
64	FU14	65099	91155
64	BB13	67318	87886
64	WB20	28135	94212
65	SH2514	71805	93768
65	NF24	71713	92639
65	WB13	31408	95472
65	CW2212	42104	92115
65	SH2515	71984	93534
65	VR14	40275	92828
65	DN26	32643	93130
65	BU1031	43486	89859
65	VT27	72053	94169
65	CW2214	48652	95269
65	BU04	45049	92104
65	GC30	65415	89903
65	DL2524	70316	90098
65	VT29	67773	88566
65	DL23523	72889	93222
65	PZ29	35682	95247
65	LI04	20633	94137
65	WE2430	36085	95555
65	WS04	73104	93965
65	WE2431	36335	94784
65	WS05	72514	92927
65	BB10	67856	88764
65	VG21	69483	91897
65	CE29	72296	95501
65	CA14	64566	89324
65	FC11	21293	95586
65	MM27	66679	91773
65	NF30	70028	90551
65	MI21	34458	96077
65	FU14	65205	91286
65	BB13	67478	87993
65	WB20	28225	94339
66	SH2514	72283	94407
66	NF24	72195	93278
66	WB13	31620	96130
66	CW2212	42357	92750
66	SH2515	72452	94170
66	VR14	40521	93455
66	DN26	32890	93775
66	BU1031	43731	90483
66	VT27	72544	94809
66	CW2214	48905	95917
66	BU04	45319	92739
66	GC30	65833	90520
66	DL2524	70766	90716
66	VT29	68223	89165
66	DL23523	73362	93872
66	PZ29	35910	95894
66	LI04	20760	94774
66	WE2430	36299	96201
66	WS04	73572	94610
66	WE2431	36572	95432
66	WS05	72979	93551
66	BB10	68276	89375
66	VG21	69941	92520
66	CE29	72771	96158
66	CA14	64974	89934
66	FC11	21416	96246
66	MM27	67106	92396
66	NF30	70460	91185
66	MI21	34670	96738
66	FU14	65646	91909
66	BB13	67859	88587
66	WB20	28376	94978
67	SH2514	71868	93857
67	NF24	71788	92729
67	WB13	31353	95568
67	CW2212	42029	92197
67	SH2515	72087	93632
67	VR14	40217	92915
67	DN26	32630	93219
67	BU1031	43403	89947
67	VT27	72080	94246
67	CW2214	48527	95360
67	BU04	44994	92206
67	GC30	65447	89984
67	DL2524	70304	90182
67	VT29	67792	88629
67	DL23523	72951	93319
67	PZ29	35645	95336
67	LI04	20628	94231
67	WE2430	36002	95633
67	WS04	73165	94065
67	WE2431	36375	94870
67	WS05	72557	93004
67	BB10	67869	88840
67	VG21	69551	91975
67	CE29	72352	95599
67	CA14	64612	89411
67	FC11	21281	95684
67	MM27	66721	91847
67	NF30	70051	90640
67	MI21	34406	96161
67	FU14	65249	91365
67	BB13	67496	88067
67	WB20	28218	94426
68	SH2514	71712	93616
68	NF24	71606	92501
68	WB13	31362	95325
68	CW2212	42025	91975
68	SH2515	71847	93391
68	VR14	40208	92666
68	DN26	32578	92996
68	BU1031	43405	89710
68	VT27	71935	94020
68	CW2214	48537	95119
68	BU04	44998	91987
68	GC30	65281	89769
68	DL2524	70172	89982
68	VT29	67642	88410
68	DL23523	72763	93088
68	PZ29	35615	95091
68	LI04	20588	93995
68	WE2430	36003	95405
68	WS04	72962	93827
68	WE2431	36277	94630
68	WS05	72385	92764
68	BB10	67681	88630
68	VG21	69355	91751
68	CE29	72140	95361
68	CA14	64411	89188
68	FC11	21268	95438
68	MM27	66551	91610
68	NF30	69906	90429
68	MI21	34399	95928
68	FU14	65095	91139
68	BB13	67264	87870
68	WB20	28170	94184
69	SH2514	71730	93638
69	NF24	71590	92527
69	WB13	31433	95350
69	CW2212	42028	91973
69	SH2515	71922	93403
69	VR14	40184	92684
69	DN26	32582	93009
69	BU1031	43414	89736
69	VT27	71929	94027
69	CW2214	48546	95125
69	BU04	45000	91998
69	GC30	65338	89794
69	DL2524	70216	89989
69	VT29	67686	88441
69	DL23523	72811	93112
69	PZ29	35599	95112
69	LI04	20606	94005
69	WE2430	36017	95431
69	WS04	73024	93839
69	WE2431	36258	94662
69	WS05	72394	92775
69	BB10	67719	88651
69	VG21	69417	91764
69	CE29	72174	95379
69	CA14	64476	89205
69	FC11	21255	95472
69	MM27	66579	91637
69	NF30	69841	90425
69	MI21	34411	95948
69	FU14	65129	91160
69	BB13	67301	87881
69	WB20	28211	94221
70	SH2514	71672	93630
70	NF24	71570	92511
70	WB13	31412	95345
70	CW2212	41971	91972
70	SH2515	71814	93398
70	VR14	40159	92683
70	DN26	32526	92995
70	BU1031	43358	89725
70	VT27	71901	94012
70	CW2214	48503	95126
70	BU04	44943	91980
70	GC30	65291	89758
70	DL2524	70158	89978
70	VT29	67637	88433
70	DL23523	72735	93095
70	PZ29	35634	95110
70	LI04	20640	93999
70	WE2430	35938	95421
70	WS04	72945	93832
70	WE2431	36253	94650
70	WS05	72366	92786
70	BB10	67681	88629
70	VG21	69399	91751
70	CE29	72144	95369
70	CA14	64415	89200
70	FC11	21274	95455
70	MM27	66534	91631
70	NF30	69830	90415
70	MI21	34413	95937
70	FU14	65100	91157
70	BB13	67305	87862
70	WB20	28209	94201
71	SH2514	71656	93642
71	NF24	71555	92524
71	WB13	31414	95358
71	CW2212	42000	92014
71	SH2515	71847	93420
71	VR14	40142	92705
71	DN26	32551	93026
71	BU1031	43353	89755
71	VT27	71961	94035
71	CW2214	48543	95156
71	BU04	44905	91992
71	GC30	65316	89801
71	DL2524	70223	89994
71	VT29	67684	88458
71	DL23523	72770	93111
71	PZ29	35595	95121
71	LI04	20618	94020
71	WE2430	35870	95428
71	WS04	72992	93846
71	WE2431	36177	94659
71	WS05	72424	92803
71	BB10	67712	88646
