Jackknife	Sample	MODIFIER	Total_Alleles
18	CW2212	42041	92135
18	SH2515	71909	93534
18	VR14	40202	92838
18	DN26	32590	93153
18	BU1031	43401	89887
18	VT27	72041	94176
18	CW2214	48609	95291
18	BU04	44972	92125
18	GC30	65344	89924
18	DL2524	70261	90103
18	VT29	67731	88575
18	DL23523	72876	93253
18	PZ29	35655	95261
18	LI04	20599	94161
18	WE2430	36016	95564
18	WS04	73082	93994
18	WE2431	36301	94803
18	WS05	72457	92933
18	BB10	67775	88760
18	VG21	69414	91897
18	CE29	72258	95516
18	CA14	64487	89352
18	FC11	21261	95609
18	MM27	66619	91781
18	NF30	69929	90563
18	MI21	34452	96097
18	FU14	65157	91309
18	BB13	67376	87996
18	WB20	28180	94346
19	SH2514	72169	94248
19	NF24	72093	93120
19	WB13	31504	95984
19	CW2212	42205	92607
19	SH2515	72365	94020
19	VR14	40385	93323
19	DN26	32731	93639
19	BU1031	43594	90340
19	VT27	72418	94656
19	CW2214	48749	95761
19	BU04	45189	92606
19	GC30	65723	90361
19	DL2524	70678	90571
19	VT29	68115	89018
19	DL23523	73285	93724
19	PZ29	35775	95742
19	LI04	20661	94627
19	WE2430	36155	96062
19	WS04	73483	94453
19	WE2431	36416	95286
19	WS05	72877	93407
19	BB10	68161	89221
19	VG21	69826	92369
19	CE29	72646	95997
19	CA14	64894	89803
19	FC11	21298	96085
19	MM27	67011	92260
19	NF30	70358	91023
19	MI21	34538	96581
19	FU14	65519	91758
19	BB13	67805	88454
19	WB20	28284	94849
20	SH2514	71867	93898
20	NF24	71759	92781
20	WB13	31422	95627
20	CW2212	42057	92241
20	SH2515	72036	93673
20	VR14	40274	92971
20	DN26	32686	93267
20	BU1031	43472	89994
20	VT27	72150	94304
20	CW2214	48585	95410
20	BU04	45050	92251
20	GC30	65480	90042
20	DL2524	70356	90242
20	VT29	67822	88678
20	DL23523	72925	93374
20	PZ29	35648	95376
20	LI04	20650	94282
20	WE2430	36071	95678
20	WS04	73147	94098
20	WE2431	36319	94920
20	WS05	72561	93059
20	BB10	67863	88885
20	VG21	69535	92018
20	CE29	72339	95644
20	CA14	64619	89460
20	FC11	21313	95733
20	MM27	66734	91916
20	NF30	70035	90691
20	MI21	34445	96221
20	FU14	65275	91424
20	BB13	67505	88112
20	WB20	28189	94463
21	SH2514	71680	93585
21	NF24	71558	92476
21	WB13	31359	95311
21	CW2212	41895	91970
21	SH2515	71894	93391
21	VR14	40121	92661
21	DN26	32618	92980
21	BU1031	43327	89723
21	VT27	71909	94004
21	CW2214	48421	95100
21	BU04	44864	91946
21	GC30	65281	89756
21	DL2524	70195	89956
21	VT29	67648	88431
21	DL23523	72739	93065
21	PZ29	35597	95075
21	LI04	20582	93972
21	WE2430	35999	95386
21	WS04	72975	93812
21	WE2431	36278	94618
21	WS05	72405	92767
21	BB10	67707	88609
21	VG21	69380	91731
21	CE29	72171	95349
21	CA14	64445	89174
21	FC11	21230	95430
21	MM27	66581	91618
21	NF30	69854	90406
21	MI21	34386	95920
21	FU14	65079	91113
21	BB13	67321	87846
21	WB20	28149	94186
